,online_order,book_table,rate(?/5),votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
18,No,No,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari
19,Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
20,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari
21,Yes,No,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
22,No,No,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
23,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
24,No,No,3.7,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari
25,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
26,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari
27,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
28,No,No,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
29,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
30,Yes,No,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari
31,Yes,No,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
32,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
33,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari
34,Yes,No,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari
35,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari
36,Yes,No,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
37,Yes,No,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
38,Yes,No,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
39,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
40,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
41,No,No,3.9,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari
42,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
43,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
44,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari
45,No,No,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
46,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
47,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
48,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
49,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
50,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari
51,Yes,No,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
52,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
53,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
54,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
55,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
56,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
57,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
58,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
59,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
60,No,No,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari
61,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
62,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari
63,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
64,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
65,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
66,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
67,No,No,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
68,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
69,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
70,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
71,No,No,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
72,No,No,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
73,No,No,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
74,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari
75,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
76,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari
77,No,No,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
78,Yes,No,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
79,Yes,No,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
80,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
81,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
82,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
83,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
84,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari
85,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari
86,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
87,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
88,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari
89,No,No,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
90,No,No,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
91,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
92,No,No,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
93,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
94,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
95,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
96,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
97,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
98,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
99,No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
100,No,No,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
101,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
102,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari
103,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
104,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
105,No,No,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000,Delivery,Banashankari
106,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
107,No,No,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
108,No,No,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
109,No,No,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
110,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
111,No,No,3.3,8,Banashankari,Delivery,South Indian,100,Delivery,Banashankari
112,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
113,No,No,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,Banashankari
114,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
115,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
116,Yes,No,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
117,Yes,No,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
118,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
119,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
120,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
121,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
122,Yes,No,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
123,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
124,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
125,Yes,No,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
126,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
127,Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
128,Yes,No,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
129,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
130,Yes,No,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
131,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
132,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
133,Yes,No,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
134,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
135,Yes,No,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
136,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
137,Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery,Banashankari
138,Yes,No,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
139,Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery,Banashankari
140,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
141,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
142,Yes,No,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
143,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Banashankari
144,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
145,Yes,No,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
146,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
147,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
148,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,Banashankari
149,Yes,No,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
150,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
151,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
152,Yes,No,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
153,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
154,Yes,No,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
155,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,Banashankari
156,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,Banashankari
157,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery,Banashankari
158,Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
159,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,Delivery,Banashankari
160,Yes,No,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
161,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
162,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
163,Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
164,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
165,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
166,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
167,Yes,No,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
168,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,Banashankari
169,Yes,No,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
170,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
171,Yes,No,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
172,Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery,Banashankari
173,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,Banashankari
174,Yes,No,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
175,Yes,No,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
176,Yes,No,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
177,Yes,No,3.6,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,Banashankari
178,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
179,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
180,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,Banashankari
181,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
182,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,"Italian, Salad",1300,Delivery,Banashankari
183,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
184,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
185,Yes,No,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
186,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari
187,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400,Delivery,Banashankari
188,Yes,No,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
189,Yes,Yes,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
190,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery,Banashankari
191,Yes,No,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery,Banashankari
192,Yes,No,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
193,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari
194,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Banashankari
195,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
196,No,No,3.9,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,Delivery,Banashankari
197,No,No,3.6,16,Mysore Road,Quick Bites,South Indian,300,Delivery,Banashankari
198,No,No,3.7,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
199,No,No,3.6,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery,Banashankari
200,No,No,3.8,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Delivery,Banashankari
201,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery,Banashankari
202,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery,Banashankari
203,No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250,Delivery,Banashankari
204,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,Delivery,Banashankari
205,Yes,No,3.4,9,Uttarahalli,Quick Bites,Street Food,200,Delivery,Banashankari
206,Yes,No,3.7,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
207,Yes,No,2.9,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery,Banashankari
208,Yes,No,3.7,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,Delivery,Banashankari
209,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100,Delivery,Banashankari
210,Yes,No,3.7,136,Banashankari,Quick Bites,"Salad, Fast Food",600,Delivery,Banashankari
211,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
212,Yes,No,4.1,185,Jayanagar,Quick Bites,"Juices, Desserts",200,Delivery,Banashankari
213,Yes,No,3.2,17,Jayanagar,Cafe,"Cafe, Fast Food",900,Delivery,Banashankari
214,Yes,No,3.8,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery,Banashankari
215,Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
216,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Delivery,Banashankari
217,Yes,No,3.8,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
218,Yes,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery,Banashankari
219,Yes,No,3.5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery,Banashankari
220,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,Delivery,Banashankari
221,Yes,No,4.0,89,Jayanagar,Quick Bites,"South Indian, Beverages",200,Delivery,Banashankari
222,Yes,No,3.6,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,Delivery,Banashankari
223,Yes,No,3.9,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Delivery,Banashankari
224,Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery,Banashankari
225,Yes,No,3.4,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery,Banashankari
226,Yes,No,3.2,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Delivery,Banashankari
227,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Delivery,Banashankari
228,Yes,No,3.9,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery,Banashankari
229,Yes,No,3.8,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250,Delivery,Banashankari
230,Yes,No,4.1,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery,Banashankari
231,Yes,No,3.2,154,Vijay Nagar,Quick Bites,Fast Food,300,Delivery,Banashankari
232,Yes,No,3.6,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery,Banashankari
233,Yes,No,3.7,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,Delivery,Banashankari
234,Yes,No,3.9,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,Delivery,Banashankari
235,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery,Banashankari
236,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200,Delivery,Banashankari
237,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Delivery,Banashankari
238,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery,Banashankari
239,Yes,No,3.7,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400,Delivery,Banashankari
240,Yes,No,4.2,179,Banashankari,Delivery,Pizza,600,Delivery,Banashankari
241,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery,Banashankari
242,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
243,Yes,No,3.7,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery,Banashankari
244,Yes,No,3.1,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Banashankari
245,Yes,No,3.9,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,Delivery,Banashankari
246,Yes,No,3.3,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,Delivery,Banashankari
247,Yes,No,4.3,322,Jayanagar,Casual Dining,South Indian,400,Delivery,Banashankari
248,Yes,No,2.6,157,Jayanagar,Cafe,"Cafe, American, Pizza",450,Delivery,Banashankari
249,Yes,No,3.9,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,Delivery,Banashankari
250,Yes,No,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery,Banashankari
251,Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
252,Yes,No,3.9,134,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,Delivery,Banashankari
253,Yes,No,3.8,577,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,Delivery,Banashankari
